[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3590176614.1354,10/11/2023,1:51 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,MRo54,SAMPLE_MATERIAL
INFO,MRo54 crystals under Et2O, glass,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.3,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3590196219.58445,1.79968738555908,2000.28759765625,,,5,,,,34.2499986290932,,,,,1.60674584999157E-5,6.16080563185589E-9,26.6617131633761,0.000363136922138823,5.35570988780592E-6,2.05355984828305E-9,4.78624495636105E-6,1.34114934210943E-9,2.40322442149097E-6,1.55512909195338E-9,3.00006139923648,171.026702880859,14,2394,1,3,0.0447322667747714,0.0286555678747456,0.00706290081143379,128.688873291016,1.79897058010101,1.80094170570374,2000.28759765625,2000.28759765625,,,2.31753325462341,0,1,,,,,,1,1,1,1.7997373342514,0,0,1.80001441818295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590196286.16654,1.80044621229172,2000.28759765625,,,5,,,,34.2499986290932,,,,,1.44045764013822E-5,1.16386619704481E-8,29.0417363717555,0.000954293380133143,4.80135033802429E-6,3.87941248870041E-9,4.19765889973984E-6,3.32180869294524E-9,2.33079918265836E-6,2.00385335415498E-9,3.00010942490598,227.636947631836,14,3186,1,3,0.0389589379414693,0.0274015801398289,0.00637101894244552,128.323486328125,1.79919922351837,1.80084598064423,2000.28759765625,2000.28759765625,,,2.31822490692139,0,1,,,,,,1,1,1,1.8006364107132,0,0,1.8000279720013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590196356.45444,1.79956966638565,2000.28759765625,,,5,,,,34.2499986290932,,,,,1.27870997900052E-5,7.89570540369439E-9,30.6346349870298,0.000720706533201206,4.26242060772729E-6,2.63193515167187E-9,3.6675322823576E-6,1.75318075103799E-9,2.17196602069258E-6,1.96301805819404E-9,2.99996198564347,303.2802734375,14,4245,1,3,0.0336508866087502,0.025613070746341,0.00600960105657577,126.286514282227,1.79830157756805,1.80216658115387,2000.28759765625,2000.28759765625,,,2.31755757331848,0,1,,,,,,1,1,1,1.7998571395874,0,0,1.80000367199165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590196427.06479,1.80007964372635,2000.28759765625,,,5,,,,34.2499986290932,,,,,1.13719836118152E-5,8.85744448559005E-9,31.5132016272282,0.00112052908410209,3.7908539814102E-6,2.95263164628841E-9,3.23177789555007E-6,2.26050379617527E-9,1.98146045688716E-6,1.89951473438376E-9,2.9998474400707,403.538238525391,14,5649,1,3,0.0291336948290739,0.0238005516771158,0.00589152052998543,121.704483032227,1.79856193065643,1.80186140537262,2000.28759765625,2000.28759765625,,,2.31737923622131,0,1,,,,,,1,1,1,1.80015635490417,0,0,1.80000820670809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590196502.40182,1.79976278543472,2000.28759765625,,,5,,,,34.2499986290932,,,,,1.01745071492881E-5,1.64835846904164E-8,31.5329231857451,0.00300620690512658,3.3916448637541E-6,5.49475906117163E-9,2.89083385915757E-6,4.91998253899042E-9,1.77379099123255E-6,2.44666077672347E-9,2.99987397207215,536.572814941406,14,7512,1,3,0.0254177122208956,0.0220825480936586,0.00605623656883836,114.257705688477,1.79804742336273,1.8028312921524,2000.28759765625,2000.28759765625,,,2.31690645217896,0,1,,,,,,1,1,1,1.79984557628632,0,0,1.80004962231662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590196572.86813,1.79989671707153,2000.28759765625,,,5,,,,34.2499986290932,,,,,9.12775358657749E-6,2.11257659277194E-8,30.9538399427327,0.00503256001224054,3.04247846780465E-6,7.04167650247312E-9,2.60917464865068E-6,6.30247645508744E-9,1.56489069263431E-6,3.14070031976159E-9,3.00010458025157,714.122497558594,14,9997,1,3,0.022136587285073,0.0205725609395738,0.00660593342036009,103.649139404297,1.79618239402771,1.80366361141205,2000.28759765625,2000.28759765625,,,2.31656384468079,0,1,,,,,,1,1,1,1.79979729652405,0,0,1.79999655917071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590196650.07231,1.80016100406647,2000.28759765625,,,5,,,,34.2499986290932,,,,,7.47176531327627E-6,1.40900900271902E-8,31.4390220253963,0.00538536307890925,2.49050312468511E-6,4.69653579421979E-9,2.12488670389031E-6,3.89532101014365E-9,1.29902359859108E-6,2.62372305976091E-9,3.000102766071,950.425842285156,14,13305,100,3,0.0169208817476828,0.0180631764398044,0.00779294082894921,89.9715576171875,1.79396307468414,1.80634522438049,2000.28759765625,2000.28759765625,,,2.31584858894348,0,1,,,,,,1,1,1,1.80003249645233,0,0,1.80001082302125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590196876.90053,1.80026352405548,2500.26806640625,,,5,,,,34.2499986290932,,,,,7.80334410221196E-7,1.01357273799239E-6,-0.277365854933952,1.02560249848763,2.60110666109081E-7,3.3785653506485E-7,2.6010761829799E-7,2.07326806821254E-7,-1.25917713502526E-9,2.66763253577641E-7,3.00000927256843,1.00057637691498,33.9804144735361,34,1,3,0.00258838194229045,2.86028260603095E-5,0.0277003925293684,178.085754394531,1.79897522926331,1.80102074146271,2500.26806640625,2500.26806640625,,,2.31674814224243,0,1,,,,,,1,1,1,1.79998004436493,0,0,1.79999362553662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197079.13571,1.80049240589142,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.21398755566397E-5,1.71338555127982E-7,0.200084143410359,0.00208577326964627,7.37998017269009E-6,5.71130192862652E-8,7.37993517348543E-6,5.50033553856672E-8,2.57717762560617E-8,1.53794625494944E-8,2.99999119761449,1.33032166957855,25.5577284633507,33,1,3,0.0734232181106312,0.00168153851886587,0.0276358351111412,177.567596435547,1.79889345169067,1.80133664608002,2500.26806640625,2500.26806640625,,,2.31764912605286,0,1,,,,,,1,1,1,1.80048477649689,0,0,1.80001454633825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197229.28444,1.79989743232727,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.14377030627956E-5,7.92418044117664E-8,0.687472317460768,0.00274439713406901,7.14591946375819E-6,2.6414002975537E-8,7.14540507901766E-6,1.76931826705005E-8,8.5739368243705E-8,1.96125174360656E-8,2.99999225733242,1.80150997638702,18.8730567388741,34,1,3,0.0710654271457995,0.00258835578418641,0.0276379957795143,176.708236694336,1.79903733730316,1.80067098140717,2500.26806640625,2500.26806640625,,,2.3159008026123,0,1,,,,,,1,1,1,1.79982793331146,0,0,1.80000613456549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197352.97319,1.79994535446167,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.13231317559691E-5,7.54895271938811E-8,1.3511247671871,0.00179963756227952,7.10772421047265E-6,2.51632239679277E-8,7.10574803232732E-6,2.16841485887689E-8,1.67595803096379E-7,1.27665790421822E-8,2.99999424915097,2.39918065071106,14.1715047551435,33,1,3,0.0706271181917087,0.00383781436455948,0.0275520253926516,175.717758178711,1.79902243614197,1.80088758468628,2500.26806640625,2500.26806640625,,,2.31607747077942,0,1,,,,,,1,1,1,1.79991281032562,0,0,1.80000777289553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197459.49647,1.79996359348297,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.10668007709951E-5,9.77503607426224E-8,1.93906044876136,0.00299840324478159,7.02225901045569E-6,3.25834168634306E-8,7.0182379293976E-6,2.48811533683536E-8,2.37608872500746E-7,2.10382333278381E-8,3.00000338062552,3.13966870307922,14,43,1,3,0.069696778174589,0.0050445354376518,0.0274374037981033,174.654525756836,1.79920017719269,1.80082845687866,2500.26806640625,2500.26806640625,,,2.31585454940796,0,1,,,,,,1,1,1,1.79994368553162,0,0,1.80001445845062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197558.31632,1.8000208735466,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.17510154297774E-5,5.77508299520478E-8,2.59721426711695,0.00194998414045763,7.25033072425774E-6,1.92502560675624E-8,7.24288299724737E-6,1.30595408877675E-8,3.28544516467355E-7,1.41428692445152E-8,3.00000320771632,4.2035231590271,14,58,1,3,0.0718225170756184,0.00681242277193428,0.0273361336439848,173.066207885742,1.79660832881927,1.80398380756378,2500.26806640625,2500.26806640625,,,2.315753698349,0,1,,,,,,1,1,1,1.79994142055511,0,0,1.79999498153726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197652.22418,1.8000476360321,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.08695899674436E-5,4.80036568151942E-8,3.48138555478928,0.00172386441081611,6.95656110619198E-6,1.6001290512967E-8,6.94372332502036E-6,1.05817028415038E-8,4.22432017904968E-7,1.20028689509834E-8,2.99998658085066,5.59955549240112,14,78,1,3,0.0686866680472471,0.00853730129435524,0.026933191344142,171.494720458984,1.7992240190506,1.8011759519577,2500.26806640625,2500.26806640625,,,2.31591987609863,0,1,,,,,,1,1,1,1.80004155635834,0,0,1.80000133488489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197746.47376,1.80010318756104,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.1511627295602E-5,7.25636272166575E-8,4.50867657182538,0.00223420163981114,7.1705143490822E-6,2.41877810092438E-8,7.14832476842953E-6,1.81850018899448E-8,5.63674582938242E-7,1.59484938603569E-8,3.00001174927646,7.40717935562134,14,103,1,3,0.0704445410206163,0.0112330627020105,0.027035491541028,168.38703918457,1.79923903942108,1.80098986625671,2500.26806640625,2500.26806640625,,,2.31595849990845,0,1,,,,,,1,1,1,1.80029928684235,0,0,1.79997556550162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197836.25058,1.79986047744751,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.07478752415249E-5,2.92986213710757E-8,5.91556020292318,0.000816292900534254,6.91613203895617E-6,9.76645230429145E-9,6.87930269781672E-6,8.06667723707822E-9,7.1279504213176E-7,5.50566153743616E-9,2.99992468690004,9.82852745056152,14,137,1,3,0.0673820059955867,0.0138311839918784,0.0262016467750072,164.245758056641,1.79898715019226,1.80081570148468,2500.26806640625,2500.26806640625,,,2.31520485877991,0,1,,,,,,1,1,1,1.79995536804199,0,0,1.79997481134805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590197922.43813,1.79998517036438,2500.26806640625,,,5,,,,34.2499986290932,,,,,2.09437970952424E-5,4.03311989924396E-8,7.61181006168706,0.00078331662566079,6.98096218073821E-6,1.34431485174198E-8,6.9194477425139E-6,1.26864641749816E-8,9.24703145618331E-7,4.44655695997631E-9,3.00013043374311,13.0976734161377,14,183,1,3,0.067186947779773,0.0174447525131242,0.025274969637394,159.703491210938,1.79873991012573,1.80169022083282,2500.26806640625,2500.26806640625,,,2.3158872127533,0,1,,,,,,1,1,1,1.80007481575012,0,0,1.79999525452915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
