[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3909685167.027,11/20/2023,10:38 pm
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 47,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1404,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 D2,ACMS_HW_VERSION
INFO,ACMSII272,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF261,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
touchdown = 16.1499995738268 mm,3909765157.74012,1.90006977004054,3999.607421875,7.72068504154189E-6,2.53761741423298E-8,20.0217475741204,0.173694595947971,2.58747033045216E-6,8.50443935225634E-9,2.43109069682946E-6,8.85889798315481E-7,9.46018283010814E-10,8.90104070498581E-10,2.98387384414673,773.5537109375,,,,1,1,3,13952,18,9,2.42049156869852E-6,9.00425595781668E-7,,,4.1349674262392E-7,1.1043553769241E-6,5,0.947376549243927,184.630767822266,0.201188258582771,,,1.89435839653015,1.89259743690491,1.95183658599854,3999.5888671875,3999.6259765625,0.0767651498317719,1,4,3,0,37.6429995738268,1,,,29.3255138397217,34.2131004333496,,,,,,,,,,,,,,,,
sample offset = 18.63 mm,3909765349.91978,1.89914791643434,3999.57971191406,3.65020144446619E-6,6.79572753856199E-8,22.6894127902864,0.989849775482628,2.44871954405201E-6,4.55888013111091E-8,2.25921162539659E-6,9.44558223242586E-7,6.34271850724842E-9,6.38578802496245E-9,1.49065721035004,1001.06951904297,,,,1,1,3,18048,18,1,2.24586582375688E-6,9.61130917400242E-7,,,2.85191674720409E-7,6.61815860780734E-7,5,0.960741400718689,183.253280639648,0.161020212403176,,,1.89886093139648,1.89522922039032,1.94504463672638,3999.57055664063,3999.5888671875,0.0767792239785194,5,4,3,0,37.6429995738268,1,,,29.8142719268799,34.7018585205078,,,,,,,,,,,,,,,,
,3909765532.54933,1.90012010686538,3999.81005859375,3.38888174682945E-6,1.41723742839432E-8,25.6570345896621,0.229127835029724,2.27662157089348E-6,9.52087898487094E-9,2.05215115444316E-6,9.85739020418241E-7,1.76103335532188E-9,1.66634892097461E-9,1.4885573387146,1291.03442382812,,,,1,1,3,23552,18,2,2.03543730694065E-6,1.00407868425935E-6,,,3.83782072788108E-7,7.72928098413672E-7,5,0.972392857074738,181.727355957031,0.182409263789156,,,1.89975798130035,1.89540910720825,1.94673347473145,3999.77319335937,3999.84692382812,0.0767088830471039,5,4,3,0,37.6429995738268,1,,,29.3255138397217,35.190616607666,,,,,,,,,,,,,,,,
,3909765716.79467,1.90015042329336,3999.76403808594,3.1012959819889E-6,1.16636780741409E-8,28.3505617246428,0.207272838994114,2.08833582297777E-6,7.85403163431307E-9,1.83785799004523E-6,9.91677628042063E-7,1.82019672364441E-9,1.82877535061502E-9,1.48505616188049,1667.7060546875,,,,1,1,3,30208,18,3,1.8172193752976E-6,1.0115730901849E-6,,,4.98088652989281E-7,8.88790737008094E-7,5,0.978223860263825,179.98828125,0.207626387333114,,,1.89835178852081,1.89626848697662,1.95784938335419,3999.7548828125,3999.77319335937,0.0768427103757858,5,4,3,0,37.6429995738268,1,,,28.8367557525635,34.7018585205078,,,,,,,,,,,,,,,,
,3909765852.6305,1.89573788642883,3999.64404296875,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.0768866017460823,6,4,3,,37.7330007247925,2,,,29.8142719268799,34.7018585205078,,,,,,,,,,,,,,,,
touchdown = 16.2400007247925 mm,3909765916.37883,1.89979202554611,3999.62573242188,2.81168044244897E-6,9.27039686487857E-9,30.6116080172164,0.183161083982699,1.87831881539488E-6,6.19300849221422E-9,1.61655419875776E-6,9.56469599488189E-7,1.82515322148368E-9,1.88231880424364E-9,1.49691331386566,2151.72412109375,,,,1,1,3,38912,18,4,1.59181428444116E-6,9.77389689725653E-7,,,6.25713468593858E-7,1.0126414053957E-6,5,0.977678537368774,177.948516845703,0.247928281377063,,,1.89758086204529,1.89415872097015,1.94789659976959,3999.607421875,3999.64404296875,0.0767031386494637,5,4,3,0,37.7330007247925,1,,,29.3255138397217,34.7018585205078,,,,,,,,,,,,,,,,
,3909766099.12937,1.90041165394955,3999.51513671875,2.47130093572662E-6,6.8126889218821E-9,31.9960620560774,0.154319281649149,1.66166594178982E-6,4.58075056333513E-9,1.4092331552498E-6,8.8045193863661E-7,1.75277724897547E-9,1.79416812500169E-9,1.48724293708801,2783.64306640625,,,,1,1,3,50176,18,5,1.3805407142964E-6,9.02005622418639E-7,,,7.44162619525923E-7,1.13019427772088E-6,5,0.983604073524475,175.413009643555,0.28263531145357,,,1.89837324619293,1.89525020122528,1.9596301317215,3999.51513671875,3999.51513671875,0.0767756924033165,5,4,3,0,37.7330007247925,1,,,29.3255138397217,33.2355842590332,,,,,,,,,,,,,,,,
,3909766281.15837,1.9004018357153,3999.4599609375,2.18890408313326E-6,5.02280095716579E-9,31.9632542281654,0.128788676342286,1.47005720497747E-6,3.37328839264622E-9,1.24717856469725E-6,7.78211933643966E-7,1.67801614935792E-9,1.69098246997513E-9,1.48899245262146,3591.36694335937,,,,1,1,3,65024,18,6,1.21496576010084E-6,8.00494796296549E-7,,,8.55882561268118E-7,1.28726912862476E-6,5,0.953074097633362,172.407409667969,0.328384860051647,,,1.895836353302,1.89499711990356,1.95208978652954,3999.44165039063,3999.47827148438,0.076695628464222,5,4,3,0,37.7330007247925,1,,,29.3255138397217,34.2131004333496,,,,,,,,,,,,,,,,
,3909766461.75043,1.90070224058128,3999.56115722656,1.94758756912657E-6,4.39024556679329E-9,30.7767096818572,0.127357376259056,1.30029696131957E-6,2.93112518299146E-9,1.11717349761666E-6,6.6535371332839E-7,1.97636833621452E-9,1.80302071270087E-9,1.49780213832855,4636.53271484375,,,,1,1,3,83968,18,7,1.08217131877715E-6,6.88331254003306E-7,,,9.62942976912018E-7,1.49414836414508E-6,5,0.908354580402374,169.036254882813,0.409671272247746,,,1.89409041404724,1.89344882965088,1.956578373909,3999.53344726562,3999.5888671875,0.0766085758805275,5,4,3,0,37.7330007247925,1,,,29.8142719268799,35.190616607666,,,,,,,,,,,,,,,,
,3909766596.72339,1.88986790180206,3999.51513671875,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.0768869072198868,6,4,3,,37.6429995738268,2,,,30.7917900085449,36.1681327819824,,,,,,,,,,,,,,,,
touchdown = 16.1499995738268 mm,3909766661.04234,1.90086179899882,3999.44140625,1.74130930163119E-6,3.90195140126659E-9,28.512838685914,0.124150551885863,1.16825848932638E-6,2.61785074323007E-9,1.02656061591614E-6,5.57674815401435E-7,2.16834298713005E-9,2.21231644190954E-9,1.49051713943481,5990.39990234375,,,,1,1,3,108032,18,8,9.89544467043108E-7,5.81504362442208E-7,,,1.05543390205298E-6,1.76969297172036E-6,5,0.84051376581192,164.822463989258,0.477010644028333,,,1.89203464984894,1.89165723323822,1.96133744716644,3999.40454101562,3999.47827148438,0.0766440629959106,5,4,3,0,37.6429995738268,1,,,29.3255138397217,34.2131004333496,,,,,,,,,,,,,,,,
,3909766841.92506,1.90154861711216,3999.42309570313,1.5936015075716E-6,3.1623352100787E-9,25.8764515136558,0.108837024100601,1.06817161697022E-6,2.1196746480863E-9,9.61073769580675E-7,4.66184311967667E-7,2.30663642304077E-9,2.31368514046484E-9,1.49189651012421,7739.53466796875,,,,1,1,3,139776,18,9,9.23157329270521E-7,4.90425939110247E-7,,,1.16348030587687E-6,2.16318221646361E-6,5,0.724269509315491,163.062194824219,0.566368175394836,,,1.88790333271027,1.88787877559662,1.96165001392365,3999.40454101562,3999.44165039063,0.0765071138739586,5,4,3,0,37.6429995738268,1,,,29.8142719268799,34.7018585205078,,,,,,,,,,,,,,,,
